Year,0,1,2,3,4,5,6
1991,0.36931188245517915,0.2248891095513629,0.04752810727080417,0.06562982129246517,0.05520520213200245,0.08136190752277672,0.15607396977540947
1992,0.4074898322995197,0.21415853326414938,0.02647583657520323,0.04150210106860081,0.08649670386438757,0.0956086563983047,0.12826833652983446
1993,0.38957467603515245,0.24061364082156692,0.030075283732457454,0.049755985995210035,0.055897353677496514,0.10499073297348827,0.1290923267646285
1994,0.4699128020349739,0.19747119699387095,0.029260729391112218,0.05540116003519367,0.0741242653335709,0.10704547409744489,0.06678437211383362
1995,0.44218916646432177,0.2525955896873471,0.037960624572924026,0.04513313377521939,0.1087781411928074,0.08661026290496181,0.02673308140241837
1996,0.3431951423404999,0.2245520040499332,0.06615624539592403,0.07643437192074834,0.13595230925994528,0.08368050141978481,0.07002942561316436
1997,0.33274829267176464,0.24663230006923537,0.07740714249444618,0.10053907662415089,0.08523230880613965,0.08584189890970434,0.0715989804245589
1998,0.35473543595680107,0.24015959178315427,0.05312390984336408,0.07695842114231315,0.08573161222764648,0.08483021816653899,0.10446081088018207
1999,0.3497785004086705,0.24739355155661388,0.05495088217311773,0.06871891563950165,0.06712393016511166,0.07874179625233943,0.1332924238046453
2000,0.32437268422463494,0.28156621839212415,0.0664016865024478,0.06306564174190338,0.05451862291417907,0.0806393686506954,0.12943577757401534
2001,0.22932540220920317,0.35786865637632687,0.07732910118067385,0.0579285192707929,0.07520523298946304,0.08473005661795283,0.11761303135558736
2002,0.15978018985208972,0.3935520547324441,0.09991417272721917,0.08167833814991053,0.0532035737172787,0.0791979160756292,0.13267375474542858
2003,0.2283296531907443,0.401267313010303,0.07537331779227296,0.05398982009882834,0.07141075040715716,0.09990447701768737,0.06972466848300705
2004,0.18159979218085803,0.4032458158362926,0.08834859112781285,0.056010728130078354,0.0660661750246772,0.09335921816628977,0.11136967953399124
2005,0.31183588728135286,0.3284913790182945,0.062023922617849794,0.056376924901127064,0.07073035517549309,0.1096992654721914,0.06084226553369121
2006,0.16022093969519016,0.44191372082575686,0.0709384820815154,0.07252075245439188,0.041262817352232584,0.0844190886610189,0.1287241989298943
2007,0.11418474144519673,0.464761322630459,0.07983469306652763,0.07980573205767945,0.09418168856013373,0.08533028901243084,0.08190153322757264
2008,0.11334992225993563,0.5176151599177177,0.06611241117341873,0.08046380568372086,0.07722411205702147,0.08805248320742792,0.05718210570075769
2009,0.0873715253771043,0.46763538975223623,0.05589593082969863,0.05768021221410372,0.16500465374445655,0.0908974485702559,0.07551483951214456
2010,0.16360319244855875,0.49293682826231006,0.07520821376870969,0.06487675776780687,0.044122672910777976,0.08066187454124288,0.07859046030059366
2011,0.1849042068857001,0.4592788903162696,0.06099192482112996,0.1595368772093197,0.039743548275949614,0.07029488864055303,0.02524966385107787
2012,0.12617127353882404,0.5235190078154943,0.09532553774197622,0.11303236088213794,0.03818207862833572,0.06943466669255367,0.034335074700677995
2013,0.17868064788561866,0.3456849189258106,0.09129137423088524,0.1618337706589388,0.05489923552590359,0.08637643725370457,0.08123361551913846
2014,0.08999465498678332,0.48509454845235545,0.07759242724781004,0.08856063164185148,0.08387637851789903,0.10007015215396252,0.07481120699933808
2015,0.062465308094292925,0.5974942084147792,0.05761701748924764,0.029201926235521466,0.12550516781020238,0.10522843799689077,0.022487933959065703
